regime,environment,environment_fold,model,n,selected_config,rmse,mae,r2,correlation,novelty_nearest_z,novelty_mean5_z,max_training_kernel_similarity
CV-GE-continuous-B6R,2019-OHH1,3,Selected-G+E,367,environment_narrower,3.2124243453529635,2.9222598076585706,-2.649224557181775,0.0938070276162253,14.295873975521705,14.419354194861759,0.3233030509970621
CV-GE-continuous-B6R,2019-OHH1,3,Selected-G+E+GxE,367,environment_narrower,2.4846318584705473,2.11710262582705,-1.1830258115703098,-0.04481706993218173,14.295873975521705,14.419354194861759,0.3233030509970621
CV-GE-continuous-B6R,2019-SCH1,1,B6-fixed-G+E,365,baseline,4.96967679607873,4.870006531623229,-24.78385811163328,0.1451697951745595,,,
CV-GE-continuous-B6R,2019-SCH1,1,Selected-G,365,environment_narrower,5.713882800325192,5.623514778058108,-33.08429130976122,0.10073371300980623,10.546985687400454,14.059397040510692,0.5415560805048939
CV-GE-continuous-B6R,2019-SCH1,1,Selected-G+E,365,environment_narrower,4.847238313884043,4.7462967915723775,-23.529029002096586,0.1532199413535325,10.546985687400454,14.059397040510692,0.5415560805048939
CV-GE-continuous-B6R,2019-SCH1,1,Selected-G+E+GxE,365,environment_narrower,5.950871542367917,5.855243580046683,-35.970281994157,0.0050845355848608146,10.546985687400454,14.059397040510692,0.5415560805048939
CV-GE-continuous-B6R,2019-TXH1,3,B6-fixed-G+E,571,baseline,1.8886193445960244,1.5135520435994392,-0.15521292100733874,0.01611126681403752,,,
CV-GE-continuous-B6R,2019-TXH1,3,Selected-G,571,environment_narrower,1.922719047637039,1.4034715061382141,-0.19730508724341012,0.019771019051964905,6.375883067543013,11.855582423002415,0.7988328047407076
CV-GE-continuous-B6R,2019-TXH1,3,Selected-G+E,571,environment_narrower,1.9209360300228084,1.5530721979047248,-0.19508549493139493,0.01807393964742883,6.375883067543013,11.855582423002415,0.7988328047407076
CV-GE-continuous-B6R,2019-TXH1,3,Selected-G+E+GxE,571,environment_narrower,2.006372140367792,1.5823651524320517,-0.3037554830138183,0.1268701234565441,6.375883067543013,11.855582423002415,0.7988328047407076
CV-GE-continuous-B6R,2019-TXH2,0,B6-fixed-G+E,438,baseline,1.550264886067526,1.2518378133161407,-0.18309758434915557,0.0030907207138362977,,,
CV-GE-continuous-B6R,2019-TXH2,0,Selected-G,438,environment_narrower,1.4840682369405978,1.1954579560433065,-0.0842176860553836,-0.015459519572540619,2.290183891805799e-05,10.66012629435518,0.9999999999971122
CV-GE-continuous-B6R,2019-TXH2,0,Selected-G+E,438,environment_narrower,1.5236350175278905,1.2315056441330539,-0.14280106910177626,0.0023093064650505516,2.290183891805799e-05,10.66012629435518,0.9999999999971122
CV-GE-continuous-B6R,2019-TXH2,0,Selected-G+E+GxE,438,environment_narrower,1.8073804246973342,1.4215491282673152,-0.6080809071977265,0.1472259261262549,2.290183891805799e-05,10.66012629435518,0.9999999999971122
