environment,test_year,model,n,rmse,mae,r2,correlation
2017-NYH2,2017,Frozen-T2,197,3.3875076359159255,3.089288071851082,-4.076390679965904,0.11111192132619399
2017-NYH2,2017,T2-Mean12,197,3.175943299770783,2.8816769407963174,-3.462106720309131,0.1502126255877175
2017-NYH2,2017,T2-Median12,197,3.128514425717839,2.8352964076166605,-3.3298295109482217,0.15661458089130947
2017-NYH3,2017,Frozen-T1,132,2.5422811700185264,2.2330378749195443,-1.3287136647639604,0.2675615126308262
2017-NYH3,2017,Frozen-T2,132,2.5255208912883753,2.218184701735109,-1.2981102554631434,0.25736363701990705
2017-NYH3,2017,T2-Mean12,132,2.4340386817316224,2.123832245586642,-1.1346362564207588,0.2756048347352863
2017-NYH3,2017,T2-Median12,132,2.4104127420537034,2.0987080762273385,-1.0933977786037148,0.2780104472333337
2017-TXH1-Dry,2017,Frozen-T1,133,2.0194198063663364,1.673411516286061,-0.8393386337438924,0.06629358412563585
2017-TXH1-Dry,2017,Frozen-T2,133,2.2729259210698123,1.9250498191110712,-1.3301239991863518,0.09008113040211622
2017-TXH1-Dry,2017,T2-Mean12,133,2.9286055604721892,2.575520904928998,-2.8683898509833914,0.0960453560968295
2017-TXH1-Dry,2017,T2-Median12,133,2.715418697591732,2.364313662942436,-2.3256924015441545,0.11561287208644497
2017-TXH1-Early,2017,Frozen-T1,178,2.2889403771186028,1.9150792863638548,-1.6589801624616722,0.023556724451961934
2017-TXH1-Early,2017,Frozen-T2,178,2.582354135457131,2.2139914385542623,-2.384369217384175,0.03212701155997288
2017-TXH1-Early,2017,T2-Mean12,178,3.291802453767649,2.9746339480406427,-4.499379191917195,0.052201294341626646
2017-TXH1-Early,2017,T2-Median12,178,3.073504193493224,2.7444128156542487,-3.7941736087518168,0.07786176849838755
2017-TXH1-Late,2017,Frozen-T1,133,3.1088110513191705,2.9217556003293605,-8.790287329324624,-0.007551041553439291
2017-TXH1-Late,2017,Frozen-T2,133,3.9196598885387735,3.764368574373357,-14.563366793203935,-0.01559520192083017
2017-TXH1-Late,2017,T2-Mean12,133,2.9420604532059467,2.753675174263632,-7.7681903273932065,0.022640254442589953
2017-TXH1-Late,2017,T2-Median12,133,2.814108708375783,2.621207818320368,-7.022108357734901,0.056821352496340176
2017-TXH2,2017,Frozen-T1,131,1.9014082815565037,1.5404953428976864,-0.02464336937049061,0.09399832287227992
2017-TXH2,2017,Frozen-T2,131,1.8863424524396348,1.5398614340936214,-0.008470152880678983,0.10377801119717131
2017-TXH2,2017,T2-Mean12,131,1.8862344389262005,1.5302093198969102,-0.008354664533798628,0.1182004947747138
2017-TXH2,2017,T2-Median12,131,1.8955080280706567,1.534687564731872,-0.018294101258131468,0.10147166413553899
2017-WIH1,2017,Frozen-T1,274,3.065464480453654,2.684965223223077,-1.054620056263201,0.38399479638668255
2017-WIH1,2017,Frozen-T2,274,2.8479663249301943,2.482401355185092,-0.7734079299436161,0.3699767310094067
2017-WIH1,2017,T2-Mean12,274,2.744857118563891,2.3842174662447353,-0.6473217461749801,0.3957825282648988
2017-WIH1,2017,T2-Median12,274,2.8383839952296928,2.4724404749403566,-0.7614943120178539,0.3767532373277748
2017-WIH2,2017,Frozen-T1,278,2.0096762932090546,1.6827492237516806,-0.4354827918697779,0.46459781547008216
2017-WIH2,2017,Frozen-T2,278,2.139291982170744,1.7997288083087788,-0.6266192167463092,0.42604167794443953
2017-WIH2,2017,T2-Mean12,278,2.5747401266415433,2.227799164356096,-1.356202294687232,0.4619486933443158
2017-WIH2,2017,T2-Median12,278,2.7334753357663426,2.3846777260855947,-1.655682128153706,0.4633146880065965
2018-ARH2,2018,Frozen-T1,429,4.280994296308884,4.215708511934303,-42.338859049354895,-0.026837344045072067
2018-ARH2,2018,Frozen-T2,429,5.088545960962216,5.034991795052349,-60.231595850957014,-0.028316722038713164
