environment_a,environment_b,n_common_genotypes,n_common_unordered_genotype_pairs,mean_prediction_offset_a_minus_b,environment_offset_sd_across_common_genotypes,max_abs_pairwise_contrast_deviation,max_abs_centered_prediction_deviation,local_max_float32_ulp,max_pairwise_deviation_in_local_float32_ulp,float32_four_term_ulp_budget,float32_implementation_bound,invariant_within_csv_only_precision,consistent_with_float32_implementation,uses_target_outcomes
GAH2_2024,MIH1_2024,15,105,-0.5712993621813334,3.948562036597989e-07,9.537200007514457e-07,7.629413332210788e-07,9.5367431640625e-07,1.000047903507948,4.0,3.824697265625e-06,False,True,False
GAH2_2024,MOH1_2024,15,105,1.3104860623666668,3.543967657397725e-07,9.536800016363145e-07,7.311533334330989e-07,9.5367431640625e-07,1.0000059613958001,4.0,3.824697265625e-06,False,True,False
GAH2_2024,NCH1_2024,15,105,-0.07673403422466668,4.924798945709126e-07,9.537300016404515e-07,5.086753347427475e-07,9.5367431640625e-07,1.000058390200138,4.0,3.824697265625e-06,False,True,False
GAH2_2024,NEH1_2024,15,105,0.016013590491999945,4.924783269175979e-07,9.537299998640947e-07,5.08637999274697e-07,9.5367431640625e-07,1.000058388337493,4.0,3.824697265625e-06,False,True,False
GAH2_2024,NEH2_2024,15,105,0.045404434203333226,4.8794141188520985e-12,1.000088900582341e-11,6.66844357510854e-12,9.5367431640625e-07,1.0486692190170288e-05,4.0,3.824697265625e-06,True,True,False
GAH2_2024,NYH2_2024,15,105,-0.265858141582,4.924741770675398e-07,9.53680002524493e-07,5.086280019384049e-07,9.5367431640625e-07,1.0000059623271227,4.0,3.824697265625e-06,False,True,False
GAH2_2024,NYH3_2024,15,105,-0.265858141582,4.924741770675398e-07,9.53680002524493e-07,5.086280019384049e-07,9.5367431640625e-07,1.0000059623271227,4.0,3.824697265625e-06,False,True,False
GAH2_2024,OHH1_2024,15,105,-0.31184679666733334,4.36535505949871e-07,1.907360001496272e-06,1.0172573343680824e-06,9.5367431640625e-07,2.000011920928955,4.0,3.824697265625e-06,False,True,False
GAH2_2024,TXH1_2024,15,105,0.7024571100860001,4.653477029899694e-07,9.53680000748136e-07,6.357859998473714e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
GAH2_2024,WIH1_2024,15,105,-2.1763718287160003,4.36540708012639e-07,9.537700016437611e-07,6.994140004934479e-07,9.5367431640625e-07,1.0001003332436085,4.0,3.824697265625e-06,False,True,False
GAH2_2024,WIH2_2024,15,105,-0.30021979014200006,4.3653228077421677e-07,9.537099998624399e-07,6.99367998180378e-07,9.5367431640625e-07,1.0000374168157578,4.0,3.824697265625e-06,False,True,False
GAH2_2024,WIH3_2024,15,105,-0.3491952260373333,4.3653966747083896e-07,9.537500016421063e-07,6.99387332048218e-07,9.5367431640625e-07,1.0000793617218733,4.0,3.824697265625e-06,False,True,False
