regime,environment,model,n,rmse,mae,r2,correlation
CV-E-B7,2015-MOH2,Thermal+water-MK,421,1.7339251947153889,1.3902717905011492,0.03373951508897721,0.19866552705504167
CV-E-B7,2015-MOH2,Vegetative,421,1.7682883157893126,1.4155921866357235,-0.004938905052306541,0.181205690959988
CV-E-B7,2015-MOH2,Water-soil,421,1.989410101821482,1.6220560618111757,-0.27198544830413196,0.20453364246616473
CV-E-B7,2015-NEH2,All-nonleaky,405,1.6674722855214283,1.35779158705244,-0.4673607027018507,-0.0013800788677094833
CV-E-B7,2015-NEH2,B6R-all-EC-reference,405,1.574936231372505,1.2696348698304758,-0.30901789426351334,-0.0031844849067613336
CV-E-B7,2015-NEH2,Canopy-growth,405,1.4435475569577505,1.1226394114429596,-0.09971925056145725,0.022240920598125546
CV-E-B7,2015-NEH2,Grain-fill-maturity,405,1.5732845332532828,1.247293372052386,-0.3062736959783372,-0.026780165426228412
CV-E-B7,2015-NEH2,Process-MK,405,1.9736527751690676,1.5810144246402125,-1.0557066202960916,0.051491457575341
CV-E-B7,2015-NEH2,Reproductive-transition,405,1.6132854430511234,1.3027812844956226,-0.37354238507818693,0.004475078395035072
CV-E-B7,2015-NEH2,Stage-MK,405,1.4434674504608904,1.1486587084734745,-0.09959720094562341,0.04930554566851216
CV-E-B7,2015-NEH2,Thermal,405,1.7394438330656394,1.4143366049454373,-0.5967629793910885,-0.006059937740355734
CV-E-B7,2015-NEH2,Thermal+water-MK,405,2.015275407734553,1.7018969342005108,-1.1433270538498794,0.03474956082732561
CV-E-B7,2015-NEH2,Vegetative,405,1.756924464860187,1.3626972248115012,-0.6290177482589117,0.02299711040387417
CV-E-B7,2015-NEH2,Water-soil,405,1.5457860682216602,1.2375525607755635,-0.26100965818479227,0.004884621442802789
CV-E-B7,2015-NEH3,All-nonleaky,249,1.4477714836389184,1.0731085159853604,-0.05905953493573368,0.11484079874549605
CV-E-B7,2015-NEH3,B6R-all-EC-reference,249,1.4687518135783288,1.080180305005148,-0.08997658874577996,0.11208454722563667
CV-E-B7,2015-NEH3,Canopy-growth,249,1.7407666067837921,1.3184750037642103,-0.531092510975063,0.09743947473037232
CV-E-B7,2015-NEH3,Grain-fill-maturity,249,1.5004201382375186,1.1081006578479917,-0.13748612335357446,0.09242047742363861
CV-E-B7,2015-NEH3,Process-MK,249,1.4301784835231794,1.064999333020756,-0.03347700545423926,0.12665469416328648
CV-E-B7,2015-NEH3,Reproductive-transition,249,1.4874864579169735,1.0963856037338113,-0.11796029453224821,0.09020824299580199
CV-E-B7,2015-NEH3,Stage-MK,249,1.4356825615100197,1.0739538409261342,-0.041447037107671614,0.10547092845635292
CV-E-B7,2015-NEH3,Thermal,249,1.7351146058710605,1.4155826488719268,-0.5211662088943663,0.11029039347640573
CV-E-B7,2015-NEH3,Thermal+water-MK,249,1.486257621915344,1.1408011705096586,-0.11611392827287159,0.13377440359519707
CV-E-B7,2015-NEH3,Vegetative,249,1.6631495951646016,1.3359495763090141,-0.39760024166585506,0.10035542611314616
CV-E-B7,2015-NEH3,Water-soil,249,1.9159216840331614,1.5985070061946673,-0.8547092744373401,0.11149563583607833
CV-E-B7,2015-NYH2,All-nonleaky,355,3.1785475239457406,2.5474133858387185,-1.2628097086619978,0.19046834802695678
CV-E-B7,2015-NYH2,B6R-all-EC-reference,355,3.175531859170953,2.5447429365683893,-1.2585180387190436,0.18996334129776088
CV-E-B7,2015-NYH2,Canopy-growth,355,2.686385848742572,2.056949491944067,-0.6163201874317337,0.14946593573018277
CV-E-B7,2015-NYH2,Grain-fill-maturity,355,3.3939380338765885,2.773989681724528,-1.579873625261432,0.15966244616505748
CV-E-B7,2015-NYH2,Process-MK,355,2.252357405789808,1.7081769319137563,-0.13622731821919887,0.13616725247447603
CV-E-B7,2015-NYH2,Reproductive-transition,355,2.77202756185795,2.143283476266323,-0.7210191519332325,0.12552775871721192
CV-E-B7,2015-NYH2,Stage-MK,355,2.699411745215943,2.0762636741028144,-0.6320327950505289,0.12808293868970713
CV-E-B7,2015-NYH2,Thermal,355,2.2832305906753163,1.7129373734259254,-0.16758945510867185,0.18167643403092096
CV-E-B7,2015-NYH2,Thermal+water-MK,355,2.6674416522925695,2.0347371109813364,-0.5936042231042982,0.1685858790920777
CV-E-B7,2015-NYH2,Vegetative,355,2.385895555248842,1.7873304161702435,-0.27495093374361534,0.16103116229723474
CV-E-B7,2015-NYH2,Water-soil,355,2.9529869049597623,2.3228224920510607,-0.9530513288752831,0.2034963624223165
CV-E-B7,2015-NYH3,All-nonleaky,355,2.4795447558570474,1.9721604728239301,-0.485746632636344,0.28706262795854753
CV-E-B7,2015-NYH3,B6R-all-EC-reference,355,2.469123390474247,1.9627558175822999,-0.4732838848688803,0.28953128480820267
CV-E-B7,2015-NYH3,Canopy-growth,355,3.2915247697798407,2.7655453465696125,-1.6181535072759412,0.306227813117419
CV-E-B7,2015-NYH3,Grain-fill-maturity,355,3.38320174255682,2.8451158683863866,-1.7660284505997224,0.2395852290475245
CV-E-B7,2015-NYH3,Process-MK,355,2.8723718037768524,2.337543661313717,-0.9938026135319444,0.31138931171715734
CV-E-B7,2015-NYH3,Reproductive-transition,355,3.2421154269587,2.715783648779157,-1.540140837061717,0.33478004021214774
CV-E-B7,2015-NYH3,Stage-MK,355,3.6349866453169537,3.1351265542075004,-2.1930556702350716,0.34259847450994324
CV-E-B7,2015-NYH3,Thermal,355,1.9891144288662996,1.6140431019747106,0.04386242302818766,0.24363651939636136
CV-E-B7,2015-NYH3,Thermal+water-MK,355,2.0105384306755547,1.62441541238469,0.023155110084614128,0.2719653163396481
CV-E-B7,2015-NYH3,Vegetative,355,1.9223595394181758,1.5651528305389053,0.10696169906698039,0.3290738619842566
CV-E-B7,2015-NYH3,Water-soil,355,2.2570472467561165,1.7767170802085963,-0.2310683093913839,0.3151408643476963
CV-E-B7,2015-OHH1,All-nonleaky,426,1.7388819200370762,1.3871236306986734,-0.2588588077049023,0.12381189110205995
CV-E-B7,2015-OHH1,B6R-all-EC-reference,426,1.747819442852155,1.3956151075555212,-0.2718326541636702,0.12193934082951496
CV-E-B7,2015-OHH1,Canopy-growth,426,1.6099913128109826,1.2761226752150878,-0.07915519137345939,0.07246383370586619
CV-E-B7,2015-OHH1,Grain-fill-maturity,426,1.6726826379026476,1.3208314553473888,-0.1648337274306093,0.10347669046383356
CV-E-B7,2015-OHH1,Process-MK,426,2.2350346591788472,1.825792487021407,-1.0797223707756367,0.09786648067166406
CV-E-B7,2015-OHH1,Reproductive-transition,426,1.791893881123795,1.4338490063624751,-0.33678453258351637,0.07078282308887955
CV-E-B7,2015-OHH1,Stage-MK,426,1.6513938578369496,1.3185262472160413,-0.13537197174778215,0.09693466552851808
CV-E-B7,2015-OHH1,Thermal,426,1.6030234107037347,1.2739633907822847,-0.06983442558417274,0.11556873287709729
CV-E-B7,2015-OHH1,Thermal+water-MK,426,1.634406252858107,1.2933634965690988,-0.11213336255454176,0.05513909102870202
CV-E-B7,2015-OHH1,Vegetative,426,1.803580414814015,1.4508398043534194,-0.3542781144866183,0.10459068497963614
CV-E-B7,2015-OHH1,Water-soil,426,1.7663340016582958,1.411513163701927,-0.29892027909305896,0.10957241465408872
CV-E-B7,2015-SDH1,All-nonleaky,327,2.9536680867742175,2.541140239117897,-2.389590819063582,-0.1381695685188825
